UniProtKB:Q9Y5A6	ZSCAN21
UniProtKB:Q9Y6P5	SESN1
UniProtKB:P49189	ALDH9A1
UniProtKB:Q96CT2	KLHL29
UniProtKB:P49184	DNASE1L1
UniProtKB:Q9UGN5	PARP2
UniProtKB:Q9UGN4	CD300A
UniProtKB:P62917	RPL8
UniProtKB:Q96D59	RNF183
UniProtKB:Q16206	ENOX2
UniProtKB:P60510	PPP4C
UniProtKB:P62910	RPL32
UniProtKB:Q8NG31	KNL1
UniProtKB:Q9Y5B6	PAXBP1
UniProtKB:P10599	TXN
UniProtKB:Q5JR12	PPM1J
UniProtKB:O95881	TXNDC12
UniProtKB:Q9UGM3	DMBT1
UniProtKB:P62906	RPL10A
UniProtKB:Q9Y625	GPC6
UniProtKB:Q9Y6N7	ROBO1
UniProtKB:Q9Y6N5	SQOR
UniProtKB:P10589	NR2F1
UniProtKB:P10588	NR2F6
UniProtKB:Q5VTE6	ANGEL2
UniProtKB:Q5VTE0	EEF1A1P5
UniProtKB:O95870	ABHD16A
UniProtKB:Q96CV9	OPTN
UniProtKB:Q9Y5T5	USP16
UniProtKB:A7MD48	SRRM4
UniProtKB:Q9UFC0	LRWD1
UniProtKB:Q5VTD9	GFI1B
UniProtKB:Q9Y6M1	IGF2BP2
UniProtKB:Q9Y6M0	PRSS21
UniProtKB:O95868	LY6G6D
UniProtKB:O95867	LY6G6C
UniProtKB:O95865	DDAH2
UniProtKB:O95864	FADS2
UniProtKB:O95863	SNAI1
UniProtKB:O95861	BPNT1
UniProtKB:Q9UGK3	STAP2
UniProtKB:Q96CW9	NTNG2
UniProtKB:Q8NFU5	IPMK
UniProtKB:O75396	SEC22B
UniProtKB:O75394	MRPL33
UniProtKB:O95858	TSPAN15
UniProtKB:P49146	NPY2R
UniProtKB:O75056	SDC3
UniProtKB:O75052	NOS1AP
UniProtKB:Q14444	CAPRIN1
UniProtKB:Q14774	HLX
UniProtKB:O60258	FGF17
UniProtKB:P22413	ENPP1
UniProtKB:O43196	MSH5
UniProtKB:Q8NDT2	RBM15B
UniProtKB:Q96AW1	VOPP1
UniProtKB:Q9UII4	HERC5
UniProtKB:P05556	ITGB1
UniProtKB:Q92506	HSD17B8
UniProtKB:Q14766	LTBP1
UniProtKB:Q14765	STAT4
UniProtKB:Q14764	MVP
UniProtKB:M0R378	M0R378
UniProtKB:O43189	PHF1
UniProtKB:O43187	IRAK2
UniProtKB:O43186	CRX
UniProtKB:A2NJV5	IGKV2-29
UniProtKB:O43184	ADAM12
UniProtKB:O75038	PLCH2
UniProtKB:Q9Y3F4	STRAP
UniProtKB:P05549	TFAP2A
UniProtKB:O75031	HSF2BP
UniProtKB:O75030	MITF
UniProtKB:P84243	H3F3A
UniProtKB:Q2VIR3	EIF2S3L
UniProtKB:P05543	SERPINA7
UniProtKB:Q96B67	ARRDC3
UniProtKB:Q8NE35	CPEB3
UniProtKB:O43175	PHGDH
UniProtKB:O43174	CYP26A1
UniProtKB:I6L893	I6L893
UniProtKB:Q14749	GNMT
UniProtKB:Q8NE28	STKLD1
UniProtKB:O43169	CYB5B
UniProtKB:Q8NDQ6	ZNF540
UniProtKB:O43167	ZBTB24
UniProtKB:Q8NE22	SETD9
UniProtKB:Q9Y3D5	MRPS18C
UniProtKB:O75015	FCGR3B
UniProtKB:Q9Y3D2	MSRB2
UniProtKB:Q9Y3D0	FAM96B
UniProtKB:Q5I7T1	ALG10B
UniProtKB:Q9UIL8	PHF11
UniProtKB:Q14739	LBR
UniProtKB:Q14738	PPP2R5D
UniProtKB:O60294	LCMT2
UniProtKB:O60296	TRAK2
UniProtKB:Q8NE18	NSUN7
UniProtKB:O43159	RRP8
UniProtKB:Q8NDP4	ZNF439
UniProtKB:P22455	FGFR4
UniProtKB:Q9Y3C8	UFC1
UniProtKB:Q96B42	TMEM18
UniProtKB:Q9Y3C6	PPIL1
UniProtKB:O43151	TET3
UniProtKB:Q14722	KCNAB1
UniProtKB:O43148	RNMT
UniProtKB:Q9Y3B9	RRP15
UniProtKB:P40967	PMEL
UniProtKB:Q9Y3B2	EXOSC1
UniProtKB:Q9BV87	CNPPD1
UniProtKB:Q8NDN9	RCBTB1
UniProtKB:Q96AQ7	CIDEC
UniProtKB:Q96AQ6	PBXIP1
UniProtKB:Q96B23	C18orf25
UniProtKB:Q9Y3A5	SBDS
UniProtKB:Q9Y3A4	RRP7A
UniProtKB:Q9Y3A2	UTP11
UniProtKB:Q9Y3A0	COQ4
UniProtKB:P0DN78	OPN1MW3
UniProtKB:P0DMV9	HSPA1B
UniProtKB:Q96GD3	SCMH1
UniProtKB:Q14703	MBTPS1
UniProtKB:M0R2P5	M0R2P5
UniProtKB:P0DMW2	NLRP2B
UniProtKB:P52333	JAK3
UniProtKB:Q9UJ14	GGT7
UniProtKB:Q9H0K6	PUS7L
UniProtKB:A0A096LP55	UQCRHL
UniProtKB:Q8NDL9	AGBL5
UniProtKB:Q96B02	UBE2W
UniProtKB:P40939	HADHA
UniProtKB:P40938	RFC3
UniProtKB:P40937	RFC5
UniProtKB:Q9UIQ6	LNPEP
UniProtKB:Q567V2	MPV17L2
UniProtKB:M0R2N6	M0R2N6
UniProtKB:Q68CP4	HGSNAT
UniProtKB:M0R2N4	M0R2N4
UniProtKB:P59047	NLRP5
UniProtKB:P59046	NLRP12
UniProtKB:P59045	NLRP11
UniProtKB:Q6QN14	USP17L6P
UniProtKB:P40925	MDH1
UniProtKB:Q9H0M5	ZNF700
UniProtKB:Q9UIS9	MBD1
UniProtKB:I3L0E3	hCG_1984214
UniProtKB:P27169	PON1
UniProtKB:Q6I9Y2	THOC7
UniProtKB:Q8NDH3	NPEPL1
UniProtKB:Q96AK3	APOBEC3D
UniProtKB:Q9Y2Z4	YARS2
UniProtKB:Q9Y2Z2	MTO1
UniProtKB:Q9UJ68	MSRA
UniProtKB:I3L0D1	RBAK-RBAKDN
UniProtKB:Q96AJ9	VTI1A
UniProtKB:Q8NDG6	TDRD9
UniProtKB:Q9Y2Y9	KLF13
UniProtKB:Q9Y2Y8	PRG3
UniProtKB:Q9Y2Y1	POLR3K
UniProtKB:Q9Y2Y0	ARL2BP
UniProtKB:Q9P0J1	PDP1
UniProtKB:Q9NXP7	GIN1
UniProtKB:Q9Y6X2	PIAS3
UniProtKB:Q8NDF8	PAPD5
UniProtKB:Q9Y6X5	ENPP4
UniProtKB:P27144	AK4
UniProtKB:Q9Y2X8	UBE2D4
UniProtKB:Q9Y394	DHRS7
UniProtKB:Q9Y2X0	MED16
UniProtKB:Q9UD71	PPP1R1B
UniProtKB:Q96AH8	RAB7B
UniProtKB:Q9Y388	RBMX2
UniProtKB:Q9Y2W7	KCNIP3
UniProtKB:Q9Y2W6	TDRKH
UniProtKB:Q96AH0	NABP1
UniProtKB:Q9Y2W2	WBP11
UniProtKB:Q9Y2W1	THRAP3
UniProtKB:I3L0A0	TMEM189-UBE2V1
UniProtKB:Q0VDG4	SCRN3
UniProtKB:Q9Y375	NDUFAF1
UniProtKB:P0C7P1	RBMY1D
UniProtKB:Q9Y371	SH3GLB1
UniProtKB:P0C7P3	SLFN14
UniProtKB:Q9UD57	NKX1-2
UniProtKB:Q2QD12	RPEL1
UniProtKB:P54368	OAZ1
UniProtKB:Q9Y2U8	LEMD3
UniProtKB:Q9Y2U5	MAP3K2
UniProtKB:Q9H160	ING2
UniProtKB:P12277	CKB
UniProtKB:Q96AE4	FUBP1
UniProtKB:Q8NDB2	BANK1
UniProtKB:Q9Y2T7	YBX2
UniProtKB:Q9Y2T6	GPR55
UniProtKB:Q9Y2T4	PPP2R2C
UniProtKB:Q9Y2T1	AXIN2
UniProtKB:J3QL48	J3QL48
UniProtKB:Q9Y2S7	POLDIP2
UniProtKB:Q9NXS2	QPCTL
UniProtKB:Q9NXS3	KLHL28
UniProtKB:Q9Y2S2	CRYL1
UniProtKB:Q9P0L0	VAPA
UniProtKB:Q96H20	SNF8
UniProtKB:P42081	CD86
UniProtKB:M0R2C6	M0R2C6
UniProtKB:Q04446	GBE1
UniProtKB:Q9Y2R9	MRPS7
UniProtKB:Q9Y337	KLK5
UniProtKB:Q9Y2R5	MRPS17
UniProtKB:Q9Y2R4	DDX52
UniProtKB:Q9Y333	LSM2
UniProtKB:Q9Y2R2	PTPN22
UniProtKB:Q9Y2R0	COA3
UniProtKB:Q96GR4	ZDHHC12
UniProtKB:Q59EK9	RUNDC3A
UniProtKB:Q96AB6	NTAN1
UniProtKB:Q9Y2Q9	MRPS28
UniProtKB:Q16560	SNRNP35
UniProtKB:Q9Y2Q5	LAMTOR2
UniProtKB:Q9Y324	FCF1
UniProtKB:P0C7U0	ELFN1
UniProtKB:Q9Y2Q1	ZNF257
UniProtKB:Q5QJU3	ACER2
UniProtKB:Q9Y2P7	ZNF256
UniProtKB:Q9Y2P5	SLC27A5
UniProtKB:Q9Y2P4	SLC27A6
UniProtKB:Q9Y312	AAR2
